銘柄名,証券コード,ステータス,買付日,売付日,買付単価,売付単価,買付数量,買付約定代金,売付約定代金,実現損益,増減率
アジレントテクノロジー,A,売却済,2025-11-06,2025-11-07,143.15,145.88,1,143.15,145.88,2.73,2.73
センターポイント・エナジー,CNP,売却済,2025-11-06,2025-12-02,38.74,38.99,1,38.74,38.99,0.25,0.25
アンフェノール,APH,売却済,2025-11-04,2026-01-07,140.37,139.77,3,421.11,419.31,-1.8,-1.8
コンステレーション エナジー,CEG,売却済,2025-11-10,2025-11-11,367.2,348.43,1,367.2,348.43,-18.77,-18.77
エヌビディア,NVDA,保有中,2025-11-04,,208.175,,2,416.35,,,
PPGインダストリーズ,PPG,売却済,2025-10-30,2025-10-30,152.93,152.43,1,152.93,152.43,-0.5,-0.5
デル テクノロジーズC,DELL,売却済,2025-11-10,2025-11-11,149.51,139.94,1,149.51,139.94,-9.57,-9.57
ブロードコム,AVGO,保有中,2025-11-07,,360.09,,1,360.09,,,
マイクロチップ・テクノロジー,MCHP,売却済,2025-11-04,2025-11-05,62.86,60.99,1,62.86,60.99,-1.87,-1.87
アマゾン ドット コム,AMZN,保有中,2025-11-07,,249.15,,2,498.3,,,
MPマテリアルズ,MP,売却済,2025-11-10,2025-12-08,61.47,60.7,1,61.47,60.7,-0.77,-0.77
スターバックス,SBUX,売却済,2025-11-12,2025-11-17,88.05,84.01,1,88.05,84.01,-4.04,-4.04
デューク・エナジー,DUK,売却済,2025-12-02,2025-12-03,123.21,119.5,1,123.21,119.5,-3.71,-3.71
D.R.ホートン,DHI,売却済,2025-12-02,2025-12-02,156.59,158.975,1,156.59,158.975,2.385,2.385
デュポン・ドゥ・ヌムール,DD,売却済,2025-12-02,2025-12-29,39.38,41.0,1,39.38,41.0,1.62,1.62
インテル,INTC,売却済,2025-12-04,2025-12-08,43.45,40.0,1,43.45,40.0,-3.45,-3.45
マイクロチップ・テクノロジー ,MCHP,売却済,2025-12-03,2025-12-16,59.3,64.495,1,59.3,64.495,5.195,5.195
スターバックス,SBUX,売却済,2025-12-04,2025-12-05,85.03,85.0001,1,85.03,85.0001,-0.0299,-0.0299
シーゲイト・テクノロジー,STX,売却済,2025-12-04,2025-12-11,266.46,289.965,1,266.46,289.965,23.505,23.505
スターバックス,SBUX,売却済,2025-12-08,2025-12-08,85.215,85.0,1,85.215,85.0,-0.215,-0.215
スターバックス,SBUX,売却済,2025-12-08,2025-12-08,85.04,85.0,1,85.04,85.0,-0.04,-0.04
シーゲイト・テクノロジー ,STX,売却済,2025-12-12,2025-12-12,302.0,289.13,1,302.0,289.13,-12.87,-12.87
リジェネロン・ファーマシューティカルズ,REGN,売却済,2025-12-12,2025-12-16,741.59,741.23,1,741.59,741.23,-0.36,-0.36
メルク,MRK,売却済,2025-12-15,2025-12-30,99.99,106.495,1,99.99,106.495,6.505,6.505
シールドエアー,SEE,売却済,2025-12-15,2025-12-17,42.0,41.34,2,84.0,82.68,-1.32,-1.32
ブロードコム,AVGO,売却済,2025-12-22,2025-12-30,344.155,350.17,1,344.155,350.17,6.015,6.015
ロイヤル ゴールド,RGLD,売却済,2025-12-22,2026-01-02,232.11,220.99,1,232.11,220.99,-11.12,-11.12
ブライトスプリング・ヘルス・サービシズ,BTSG,売却済,2025-12-22,2026-01-08,37.65,39.44,3,112.95,118.32,5.37,5.37
シティグループ,C,売却済,2025-12-22,2025-12-29,114.96,118.005,1,114.96,118.005,3.045,3.045
ラム リサーチ,LRCX,売却済,2025-12-22,2025-12-29,175.68,175.01,1,175.68,175.01,-0.67,-0.67
ロックウェル オートメーション,ROK,売却済,2025-12-23,2025-12-23,398.65,396.0,1,398.65,396.0,-2.65,-2.65
ダウ・インク,DOW,売却済,2025-12-23,2025-12-31,23.3737,23.3804,8,186.9896,187.0432,0.0536,0.0536
マイクロン テクノロジー,MU,売却済,2026-01-02,2026-01-08,308.26,338.015,1,308.26,338.015,29.755,29.755
ロックウェル オートメーション,ROK,売却済,2025-12-24,2025-12-30,398.22,395.92,1,398.22,395.92,-2.3,-2.3
アルファベット C,GOOG,売却済,2025-11-07,2026-01-02,285.94,312.0,1,285.94,312.0,26.06,26.06
ゼネラル モーターズ,GM,売却済,2025-11-07,2026-01-02,68.79,80.02,5,343.95,400.1,56.15,56.15
コルテバ,CTVA,売却済,2026-01-05,2026-01-05,67.53,66.99,2,135.06,133.98,-1.08,-1.08
