銘柄名,証券コード,ステータス,買付日,売付日,買付単価,売付単価,買付数量,買付約定代金,売付約定代金,実現損益,増減率
良品計画,7453,売却済,2025-11-04,2025-11-06,3143.0,3300.0,1,3143,3300.0,157.0,0.049952274897
高島屋,8233,売却済,2025-11-04,2025-11-07,1629.0,1690.0,2,3258,3380.0,122.0,0.037446286065
ローム,6963,売却済,2025-10-29,2025-10-29,2425.0,2390.0,1,2425,2390.0,-35.0,-0.014432989691
NTT,9432,売却済,2025-10-28,2025-10-28,161.9,160.9,100,16190,16090.0,-100.0,-0.006176652254
積水ハウス,1928,売却済,2025-10-24,2025-10-29,3400.0,3375.0,3,10200,10125.0,-75.0,-0.007352941176
日産自動車,7201,売却済,2025-10-24,2025-10-31,378.0,352.0,3,1134,1056.0,-78.0,-0.068783068783
東ソー,4042,売却済,2025-10-27,2025-10-29,2300.0,2220.0,2,4600,4440.0,-160.0,-0.034782608696
村田製作所,6981,売却済,2025-10-24,2025-10-31,3010.0,3384.0,3,9030,10152.0,1122.0,0.124252491694
スズキ,7269,売却済,2025-10-24,2025-11-04,2298.0,2218.0,3,6894,6654.0,-240.0,-0.034812880766
DeNA,2432,売却済,2025-10-28,2025-11-05,2845.0,2587.0,3,8535,7761.0,-774.0,-0.090685413005
UBE,4208,売却済,2025-10-27,2025-10-29,2345.0,2264.0,2,4690,4528.0,-162.0,-0.034541577825
いすゞ,7202,売却済,2025-10-27,2025-10-29,1981.0,1917.0,2,3962,3834.0,-128.0,-0.032306915699
マツダ,7261,売却済,2025-10-24,2025-10-29,1133.0,1093.0,2,2266,2186.0,-80.0,-0.035304501324
日本郵船,9101,売却済,2025-11-10,2025-11-11,5069.0,4875.0,2,10138,9750.0,-388.0,-0.038271848491
三井金属,5706,売却済,2025-11-07,2025-11-10,15700.0,15445.0,1,15700,15445.0,-255.0,-0.016242038217
住友電気工業,5802,売却済,2025-11-07,2025-11-10,6020.0,5768.0,1,6020,5768.0,-252.0,-0.041860465116
NTT,9432,売却済,2025-11-12,2025-12-09,153.0,154.0,10,1530,1540.0,10.0,0.006535947712
ニッスイ,1332,売却済,2025-11-13,2025-12-04,1182.5,1204.0,2,2365,2408.0,43.0,0.018181818182
TDK,6762,売却済,2025-11-13,2025-11-19,2555.0,2400.0,1,2555,2400.0,-155.0,-0.060665362035
小松製作所,6301,売却済,2025-11-13,2025-11-19,5280.0,4948.0,1,5280,4948.0,-332.0,-0.062878787879
りそなホールディングス,8308,売却済,2025-11-13,2025-12-10,1557.0,1539.0,1,1557,1539.0,-18.0,-0.011560693642
武田薬品,4502,売却済,2025-11-20,2025-12-05,4470.0,4443.0,2,8940,8886.0,-54.0,-0.006040268456
セブン&アイ,3382,売却済,2025-11-20,2025-12-05,2146.0,2107.0,2,4292,4214.0,-78.0,-0.01817334576
アステラス製薬,4503,保有中,2025-11-21,,1961.0,,1,1961,,,
日経平均ベア2倍,1360,売却済,2025-11-19,2025-11-26,155.0,149.6,100,15500,14960.0,-540.0,-0.034838709677
エーザイ,4253,売却済,2025-11-26,2025-12-01,5050.0,4808.0,2,10100,9616.0,-484.0,-0.047920792079
イオン,8267,売却済,2025-11-18,2025-12-01,2525.0,2819.0,2,5050,5638.0,588.0,0.116435643564
村田製作所,6981,売却済,2025-12-05,2025-12-11,3400.0,3313.0,3,10200,9939.0,-261.0,-0.025588235294
ソフトバンクグループ,9984,売却済,2025-12-05,2025-12-10,18200.0,18524.0,1,18200,18524.0,324.0,0.017802197802
日立,6501,保有中,2025-12-05,,4855.0,,2,9710,,,
信越化学工業,4063,売却済,2025-12-05,2025-12-11,4765.0,4663.0,2,9530,9326.0,-204.0,-0.021406086044
ファナック,6954,売却済,2025-12-05,,5949.0,,1,5949,,,
KDDI,9433,保有中,2025-12-09,,2689.0,,2,5378,,,
三井金属,5706,売却済,2025-12-09,,18110.0,,2,36220,,,
日産,7201,売却済,2025-12-10,,388.0,,20,7760,,,
オリンパス,7733,売却済,2025-12-09,2025-12-10,2041.0,2022.0,10,20410,20220.0,-190.0,-0.009309162175
東京ガス,9531,売却済,2025-12-09,,6129.0,,1,6129,,,
キッコーマン,2801,保有中,2025-12-11,,1423.0,,10,14230,,,
セブン&アイ,3382,保有中,2025-12-15,,2178.0,,5,10890,,,
三菱電機,6503,保有中,2025-12-15,,4800.0,,2,9600,,,
住友化学,4005,売却済,2025-12-11,2025-12-11,470.0,452.0,40,18800,18080.0,-720.0,-0.03829787234
ニッスイ,1332,保有中,2025-12-11,,1215.0,,10,12150,,,
